Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-01T18:02:19.578Z","Included","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-12-01T17:50:08.609Z","Included","claude-4.5-sonnet","No","132703","36471","1180628","13760","1363562","1.17"
"2025-12-01T17:19:03.466Z","Included","claude-4.5-sonnet","No","77010","84","2301213","62533","2440840","1.92"
"2025-11-26T20:27:42.796Z","Included","claude-4.5-sonnet","No","22241","4832","801061","10717","838851","0.50"
"2025-11-26T20:24:14.430Z","Included","claude-4.5-sonnet","No","18037","4829","197646","4574","225086","0.21"
"2025-11-26T20:22:51.828Z","Included","claude-4.5-sonnet","No","60381","4827","143323","827","209358","0.30"
"2025-11-25T18:54:43.394Z","Included","claude-4.5-sonnet","No","48713","8264","445742","6000","508719","0.43"
"2025-11-25T18:38:08.153Z","Included","claude-4.5-sonnet","No","135018","23119","704869","3639","866645","0.84"
"2025-11-25T18:00:48.619Z","Included","claude-4.5-sonnet","No","270156","5036","1937868","21034","2234094","1.93"
"2025-11-25T17:41:53.431Z","Included","claude-4.5-sonnet","No","132761","48929","2555612","8634","2745936","1.54"
"2025-11-25T17:17:59.674Z","Included","claude-4.5-sonnet","No","26453","5687","3205791","8887","3246818","1.21"
"2025-11-25T17:04:59.888Z","Included","claude-4.5-sonnet","No","44069","2261","1487299","6760","1540389","0.71"
"2025-11-25T16:41:55.910Z","Included","claude-4.5-sonnet","No","29939","33","1620038","8466","1658476","0.73"
"2025-11-25T16:40:26.444Z","Included","claude-4.5-sonnet","No","6578","8","28144","343","35073","0.04"
"2025-11-25T16:33:41.145Z","Included","claude-4.5-sonnet","No","5478","604","1685180","2137","1693399","0.56"
"2025-11-25T16:29:46.733Z","Included","claude-4.5-sonnet","No","154803","1185","340994","758","497740","0.70"
"2025-11-25T16:00:17.592Z","Errored, No Charge","claude-4.5-sonnet","No","151424","27428","3744331","41825","3965008","2.40"
"2025-11-25T15:33:20.701Z","Included","claude-4.5-sonnet","No","71394","74","1284703","51882","1408053","1.43"
